run,skip_n,bench_type,arch,pol,prec,rec,acc,f1,time
0,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
1,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
2,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
3,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
4,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
5,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
6,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
7,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
8,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
9,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
10,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
11,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
12,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
13,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
14,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
15,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
16,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
17,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
18,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
19,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
20,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
21,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
22,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
23,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
24,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
25,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
26,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
27,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
28,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
29,1,quality,resnet152,drop-last-rand-n,0.5137869972173034,0.5127411938487592,0.5857552008097918,0.5138643650189809,0.0
0,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
1,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
2,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
3,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
4,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
5,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
6,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
7,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
8,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
9,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
10,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
11,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
12,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
13,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
14,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
15,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
16,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
17,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
18,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
19,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
20,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
21,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
22,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
23,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
24,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
25,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
26,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
27,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
28,2,quality,resnet152,drop-last-rand-n,0.3207690361750569,0.3207432947100754,0.4602467265823468,0.30670879023963915,0.0
